title,scenariste,dessinateur,code_barre,editeur,dewey,date_acquis,date_hors_circu,ref,cote,resume,tags
"LE CONSTAT","DAVODEAU","DAVODEAU","1000000022476","LONG COURRIER","Aventure",,,102247,,,
"LES GENS SONT MECHANTS","QUINO","QUINO","1000000022483","GLENAT","Humour",,,102248,,,
"LES VOLEURS D'EMPIRES : T 03 UN SALE METIER","DUFAUX","DUFAUX","1000000022490","GLENAT","Fantastique",,,102249,,,
"L'ALBINOS","ABULI","ABULI","1000000022506","LONG COURRIER","Aventure",,,102250,,,
"LES DEPRAVATIONS DU COMTE ZARTOG","STARZO","STARZO","1000000022513","MAGIC STRIP","Erotique",,,102251,,,
"VAURIENS : T 02 DAME BRECHE-DENT","BRUNSCHWIG","CAGNIAT","1000000022520","DELCOURT","Fantastique",,,102252,,,
"DRUUNA : APHRODISIA","PAOLO (ELEUTERI)","PAOLO - ELEUTERI","1000000022537","BAGHEERA","Erotique",,,102253,,,
"LES BIDOCHON : T 14 LES INSTANTS INOUBLIABLES","BINET","BINET","1000000022544","FLUIDE GLACIAL","Humour",,,102254,,,
"LES BIDOCHON : T 15 BIDOCHON MERE (MÔMAN)","BINET","BINET","1000000022551","FLUIDE GLACIAL","Humour",,,102255,,,
"LE SURSIS : T01","GIBRAT","GIBRAT","1000000022568","DUPUIS","Aventure",,,102256,,,
"XIII : T 12 LE JUGEMENT","VAN HAMME","VANCE","1000000022575","DARGAUD","Aventure",,,102257,,,
"EXTREME FRONTIERE","LACAF","LACAF","1000000022582","DARGAUD","Aventure",,,102258,,,
"NORTHREED PROJECT","GOFFIN","GOFFIN","1000000022599","DARGAUD","Aventure",,,102259,,,
"LANFEUST DE TROY : T 03 CASTEL OR-AZUR","ARLESTON","TARQUIN","1000000022605","SOLEIL","Fantastique",,,102260,,,
"LANFEUST DE TROY : T 04 LE PALADIN D'ECKMÛL","ARLESTON","TARQUIN","1000000022612","SOLEIL","Fantastique",,,102261,,,
"SANG-DE-LUNE : T 02 SANG-MARELLE","DUFAUX","DUFAUX","1000000022629","GLENAT","Aventure",,,102262,,,
"LABYRINTHES : T 04 LES MAITRES DE L'AGARTHA","DIETER - LE TENDRE","LE TENDRE","1000000022636","GLENAT","Fantastique",,,102263,,,
"LES HEROS CAVALIERS : T 06 LA FAIM DES ILLUSIONS","TARRAL","COTHIAS","1000000022643","GLENAT","Aventure",,,102264,,,
"LE TROISIEME TESTAMENT : T 01 MARC OU LE REVEIL DU LION","DORISON","DORISON","1000000022650","GLENAT","Aventure",,,102265,,,
"ALYS ET VICKY : A CHACUNE SA MANIERE","DI SANO","DI SANO","1000000022667","P&T PRODUCTION","Erotique",,,102266,,,
"LUCKY LUKE : O.K CORAL","MORRIS","GOSCINNY","1000000022674","LUCKY PRODUCTION","Humour",,,102267,,,
"JONATHAN : T 12 CELUI QUI MENE LES FLEUVES A LA MER","","","1000000022681","LOMBARD","Aventure",,,102268,,,
"FOX : T 06 JOURS CORBEAUX","DUFAUX","DUFAUX","1000000022698","GLENAT","Fantastique",,,102269,,,
"LES VOLEURS D'EMPIRES : T 04 FRAPPE-MISERE","DUFAUX","DUFAUX","1000000022704","GLENAT","Fantastique",,,102270,,,
"ARNO : T 06 CHESAPEAKE","MARTIN","MARTIN","1000000022711","GLENAT","Aventure",,,102271,,,
"LE CYCLE DE CYANN : TOME 2 SIX SAISONS SUR ILO","BOURGEON","BOURGEON","1000000022728","CASTERMAN","Fantastique",,,102272,,,
"LE CYCLE DE CYANN : LA CLE DES CONFINS - D'OLH A ILO ET AU-DELA","BOURGEON","BOURGEON","1000000022735","CASTERMAN","Fantastique",,,102273,,,
"CELUI QUI EST NE DEUX FOIS : T 01 PLUIE D'ORAGE","","","1000000022742","LOMBARD","Aventure",,,102274,,,
"CELUI QUI EST NE DEUX FOIS : T 02 LA DANSE DU SOLEIL","","","1000000022759","LOMBARD","Aventure",,,102275,,,
"LES CHRONIQUES DE PANCHRYSIA : T 03 LES STATUES","FERRY","FERRY","1000000022766","LOMBARD","Fantastique",,,102276,,,
"FATUM : T 02 PREMIERES ARMES","FROIDEVAL","FRANCARD","1000000022773","DARGAUD","Fantastique",,,102277,,,
"SASMIRA : T 01 L' APPEL","","","1000000022780","HUMANOIDES","Fantastique",,,102278,,,
"LE PERE NOEL DANS SES PETITS SOULIERS","COLLECTIF","COLLECTIF","1000000022797","STUDIO PICTORIS","Humour",,,102279,,,
"LE LIEN : T 01 SEIGNEUR QUATRE","GEMINI","GEMINI","1000000022803","SOLEIL","Fantastique",,,102280,,,
"LA BELLE COQUETIERE T 01","SERVAIS","SERVAIS","1000000022810","DUPUIS","Aventure",,,102281,,,
"LA BELLE COQUETIERE T 02","SERVAIS","SERVAIS","1000000022827","DUPUIS","Aventure",,,102282,,,
"HOUPPELAND : T 01","TRONCHET","TRONCHET","1000000022834","DUPUIS","Humour",,,102283,,,
"LE GOULAG : N 14 DANSE AVEC LES FOUS","","","1000000022841","GLENAT","Humour",,,102284,,,
"LANFEUST DE TROY : T 05 LE FRISSON DE L'HARUSPICE","ARLESTON","TARQUIN","1000000022858","SOLEIL","Fantastique",,,102285,,,
"TROLLS DE TROY : T01 HISTOIRES TROLLES","ARLESTON","MOURIER","1000000022865","SOLEIL","Fantastique",,,102286,,,
"VORTEX : T 05 TESS WOOD ET CAMPBELL","VINCE","STAN","1000000022872","DELCOURT","Fantastique",,,102287,,,
"ALIX : L'ENFANT GREC","MARTIN","MARTIN","1000000022889","CASTERMAN","Aventure",,,102288,,,
"FATUM : T 01 L'HERITIER","FROIDEVAL","FRANCARD","1000000022896","DARGAUD","Fantastique",,,102289,,,
"JEREMIAH : T 20 MERCENAIRES","HERMANN","HERMANN","1000000022902","DUPUIS","Aventure",,,102290,,,
"BERCEUSE ASSASSINE : T 01 LE CUR DE TELENKO","RALPH","RALPH","1000000022919","DARGAUD","Aventure",,,102291,,,
"BLUEBERRY : T 24 OMBRES SUR TOMBSTONE","GIRAUD","GIRAUD","1000000022926","DARGAUD","Aventure",,,102292,,,
"MARY LA NOIRE : T 02 PASSE DE L'AU-DELA","MAGNIN","MAGNIN","1000000022933","DARGAUD","Aventure",,,102293,,,
"LES EAUX DE MORTELUNE : T 08 LA MORT DE NICOLAS","ADAMOV","COTHIAS","1000000022940","GLENAT","Fantastique",,,102294,,,
"LE DER DES DERS","TARDI","TARDI","1000000022957","CASTERMAN","Aventure",,,102295,,,
"FINKEL : T 03 GENOS","CONVARD","CONVARD","1000000022964","DELCOURT","Fantastique",,,102296,,,
"FINKEL : T 04 LE SECRET","CONVARD","CONVARD","1000000022971","DELCOURT","Fantastique",,,102297,,,
"VAE VICTIS : T 05 DIDIUS, LE RETOUR DE L'INFAME","ROCCA","ROCCA","1000000022988","SOLEIL","Aventure",,,102298,,,
"VAE VICTIS : T 06 BOADICAE, LA GUERRIERE FOLLE","ROCCA","ROCCA","1000000022995","SOLEIL","Aventure",,,102299,,,
"VAE VICTIS : T 07 YORC, LE BATELEUR","ROCCA","ROCCA","1000000023008","SOLEIL","Aventure",,,102300,,,
"VAE VICTIS : T 08 SLIGO, L'USURPATEUR","ROCCA","ROCCA","1000000023015","SOLEIL","Aventure",,,102301,,,
"LES AVENTURES DE COURTEMANCHE","COURTEMANCHE-ERROC","COURTEMANCHE-ERROC","1000000023022","DARGAUD","Humour",,,102302,,,
"DAMPIERRE : T 04 LE COMPLOT DE LAVAL","LEGEIN","ERIC","1000000023039","GLENAT","Aventure",,,102303,,,
"BALADE AU BOUT DU MONDE : 3° CYCLE D'AVENTURES T 09 LES VERITABLES","MAKYO","FAURE","1000000023046","GLENAT","Humour",,,102304,,,
"LES CHEMINS DE MALEFOSSE : T 09 LA PLUME DE FER","BARDET","BARDET","1000000023053","GLENAT","Aventure",,,102305,,,
"SANG DE LUNE : T 04 ROUGE-VENT","DUFAUX","DUFAUX","1000000023060","GLENAT","Aventure",,,102306,,,
"LES PIONNIERS DU NOUVEAU MONDE : T 10 COMME LE SOUFFLE D'UN BISON EN HIVER","CHARLES","ERSEL","1000000023077","GLENAT","Aventure",,,102307,,,
"LES MAITRES DE L'ORGE : T 06 JAY, 1973","VAN HAMME","VAN HAMME","1000000023084","GLENAT","Aventure",,,102308,,,
"JOE BAR TEAM : T 04","DETEINDRE","DEBARRE","1000000023091","VENTS D'OUEST","Humour",,,102309,,,
"LES FEUX D'ASKELL : T 01 RETOUR A VOCABLE","ARLESTON","ARLESTON","1000000023107","SOLEIL","Fantastique",,,102310,,,
"LE LIEVRE DE MARS : T 05","COTHIAS","PARRAS","1000000023114","GLENAT","Aventure",,,102311,,,
"ARNO : T 05 L'OGRESSE","","MARTIN","1000000023121","GLENAT","Aventure",,,102312,,,
"LE FOND DU MONDE : T 01 MADEMOISELLE H","","CORBEYRAN","1000000023138","DELCOURT","Fantastique",,,102313,,,
"KAMA SUTRA","","","1000000023145","ALBIN MICHEL","Erotique",,,102314,,,
"JESSICA BLANDY : T 13 LETTRE A JESSICA","RENAUD","DUFAUX","1000000023152","DUPUIS","Aventure","1998-08-01T00:00:00.000Z",,102315,,,
"JESSICA BLANDY : T 14 CUBA","RENAUD","DUFAUX","1000000023169","DUPUIS","Aventure","1998-08-01T00:00:00.000Z",,102316,,,
"BLUEBERRY : T 22 MISTER BLUEBERRY","","GIRAUD","1000000023176","DARGAUD","Aventure","1998-08-01T00:00:00.000Z",,102317,,,
