title,code_barre,date_acquis,date_hors_circu,ref,tags
"100 IDéES JARDIN : OCTOBRE 2002","4072002100008","2003-10-14T00:00:00.000Z",,400135,
"100 IDéES JARDIN : OCTOBRE 2001","4072001100009","2003-10-14T00:00:00.000Z",,400136,
"CUISINE ET VINS DE FRANCE : n.94 NOVEMBRE 2003","40320031100010","2003-10-17T00:00:00.000Z",,400137,
"100 IDéES JARDIN : DECEMBRE 2001","4072001120007","2003-10-17T00:00:00.000Z",,400138,
"100 IDéES JARDIN : NOVEMBRE 2002","4072002110007","2003-10-17T00:00:00.000Z",,400139,
"STUDIO MAGAZINE :194 NOVEMBRE 2003","4122003110008","2003-10-29T00:00:00.000Z",,400140,
"ORDINATEUR INDIVIDUEL : 155 NOVEMBRE 2003","4092003110004","2003-10-29T00:00:00.000Z",,400141,
"QUE CHOISIR : NOVEMBRE 2003 N.409","41020031100010","2003-10-31T00:00:00.000Z",,400142,
"ACTION AUTO MOTO : NOVEMBRE 2003 n°106","4012003110002","2003-10-31T00:00:00.000Z",,400143,
"60 MILLIONS DE CONSOMMATEURS : NOVEMBRE 2003 n.377","4082003110005","2003-10-31T00:00:00.000Z",,400144,
"GéO : NOVEMBRE 2003 n.297","4062003110007","2003-10-31T00:00:00.000Z",,400145,
"DéTOURS EN FRANCE :n.85 NOVEMBRE 2003","4042003110009","2003-11-07T00:00:00.000Z",,400147,
"SCIENCES ET AVENIR :n.681 NOVEMBRE 2003","4112003110009","2003-11-07T00:00:00.000Z",,400148,
"L'éCOLE DES PARENTS : n.4 NOVEMBRE 2003","4052003110008","2003-11-07T00:00:00.000Z",,400150,
"ART ET DéCORATION : n.404 NOVEMBRE 2003","4022003110001","2003-11-07T00:00:00.000Z",,400151,
"100 IDéES JARDIN : DECEMBRE 2003 hiver n.20","4072003120005","2003-11-14T00:00:00.000Z",,400152,
"CUISINE ET VINS DE FRANCE : NOVEMBRE 2002 n.88","4032002110001","2003-11-14T00:00:00.000Z",,400153,
"CUISINE ET VINS DE FRANCE : OCTOBRE 2001","4032001100003","2003-11-14T00:00:00.000Z",,400154,
"ACTION AUTO MOTO : DECEMBRE 2003 n.107","4012003120001","2003-11-20T00:00:00.000Z",,400155,
"QUE CHOISIR : HORS SERIE n. 92 nov2003 Votre retraite","4102004000003","2003-11-21T00:00:00.000Z",,400156,
"GéO : SEPTEMBRE 2001 n.271","4062001090004","2003-11-21T00:00:00.000Z",,400157,
"GéO : DECEMBRE 2003  n.298","4062003120006","2003-11-25T00:00:00.000Z",,400158,
"QUE CHOISIR : DECEMBRE 2003 n.410","4102003120009","2003-11-27T00:00:00.000Z",,400162,
"60 MILLIONS DE CONSOMMATEURS : DECEMBRE 2003 n.378","4082003120004","2003-11-27T00:00:00.000Z",,400163,
"SCIENCES ET AVENIR : DECEMBRE 2003 n.682","4112003120008","2003-11-27T00:00:00.000Z",,400164,
"ORDINATEUR INDIVIDUEL : DECEMBRE 2003 n.156","4092003120003","2003-11-27T00:00:00.000Z",,400165,
"ART ET DéCORATION : MARS 2002","4022002030003","2003-12-05T00:00:00.000Z",,400166,
"ART ET DéCORATION : MARS 2001","4022001030004","2003-12-05T00:00:00.000Z",,400167,
"ART ET DéCORATION : OCTOBRE 2002","4022002100003","2003-12-05T00:00:00.000Z",,400168,
"CUISINE ET VINS DE FRANCE : DECEMBRE2003-JANVIER 2004 n.95","4032004010002","2003-12-05T00:00:00.000Z",,400169,
"CUISINE ET VINS DE FRANCE :AVRIL  MAI 2002 n.85","40320020500010","2003-12-12T00:00:00.000Z",,400171,
"CUISINE ET VINS DE FRANCE : DECEMBRE 2000","4032000120002","2003-12-16T00:00:00.000Z",,400172,
"ACTION AUTO MOTO : JANVIER 2004 n.108","4012004010004","2003-12-19T00:00:00.000Z",,400173,
"60 MILLIONS DE CONSOMMATEURS : JANVIER 2004 n379","4082004010007","2003-12-19T00:00:00.000Z",,400174,
"ORDINATEUR INDIVIDUEL : JANVIER 2004 n.157","4092004010006","2003-12-19T00:00:00.000Z",,400175,
"SCIENCES ET AVENIR : JANVIER 2004 n.683","4112004010001","2003-12-19T00:00:00.000Z",,400176,
"L'éCOLE DES PARENTS : DECEMBRE 2003","4052003120007","2003-12-19T00:00:00.000Z",,400177,
"60 MILLIONS DE CONSOMMATEURS : HORS SERIE 2004 n.81 aides financieres","4082004000008","2003-12-22T00:00:00.000Z",,400178,
"GéO : FEVRIER 2002","40620020200010","2004-01-06T00:00:00.000Z",,400179,
"STUDIO MAGAZINE : JANVIER 2004 n196","41220040100010","2004-01-06T00:00:00.000Z",,400180,
"ART ET DéCORATION : JANVIER 2004 n405","4022004010003","2004-01-06T00:00:00.000Z",,400181,
"DéTOURS EN FRANCE : DECEMBRE 2003 n86","4042003120008","2004-01-06T00:00:00.000Z",,400182,
"GÉO : JANVIER 2004 n299","4062004010009","2004-01-13T00:00:00.000Z",,400183,
"QUE CHOISIR : JANVIER 2004 n411","4102004010002","2004-01-13T00:00:00.000Z",,400184,
"DÉTOURS EN FRANCE : FEVRIER 2004 n.87","40420040200010","2004-01-16T00:00:00.000Z",,400186,
"STUDIO MAGAZINE : FEVRIER 2004 n.197","4122004020009","2004-01-29T00:00:00.000Z",,400187,
"QUE CHOISIR : FEVRIER 2004 n.412","4102004020001","2004-01-29T00:00:00.000Z",,400188,
"60 MILLIONS DE CONSOMMATEURS : FEVRIER 2004 n. 380","4082004020006","2004-01-29T00:00:00.000Z",,400189,
"SCIENCES ET AVENIR : FEVRIER 2004 n684","41120040200010","2004-02-03T00:00:00.000Z",,400190,
"ORDINATEUR INDIVIDUEL : FEVRIER 2004 n.158","4092004020005","2004-02-03T00:00:00.000Z",,400191,
"DéTOURS EN FRANCE : JUIN 2000","40420000600010","2004-02-03T00:00:00.000Z",,400192,
"DéTOURS EN FRANCE : JUIN 2002","4042002060008","2004-02-03T00:00:00.000Z",,400193,
"GEO : FEVRIER 2004 n.300","4062004020008","2004-02-06T00:00:00.000Z",,400194,
"100 IDéES JARDIN : MARS 2002 n13","4072002030008","2004-02-06T00:00:00.000Z",,400195,
"100 IDéES JARDIN : JUIN 2002 n14","4072002060005","2004-02-06T00:00:00.000Z",,400196,
"CUISINE ET VINS DE FRANCE : FEVRIER MARS 2002 n°84","4032002020003","2004-02-06T00:00:00.000Z",,400197,
"ART ET DéCORATION : JANVIER 2002 n°389","4022002010005","2004-02-06T00:00:00.000Z",,400198,
"ART ET DéCORATION : AVRIL 2002 n°391","4022002040002","2004-02-06T00:00:00.000Z",,400199,
"ART ET DéCORATION : MAI 2002 N°392","4022002050001","2004-02-06T00:00:00.000Z",,400200,
"ART ET DéCORATION : JUILLET 2002 N°393","4022002070009","2004-02-06T00:00:00.000Z",,400201,
"ART ET DéCORATION : SEPTEMBRE 2002 n°394","4022002090007","2004-02-06T00:00:00.000Z",,400202,
"60 MILLIONS DE CONSOMMATEURS n 366  : NOVEMBRE 2002","4082002110006","2004-02-09T00:00:00.000Z",,400208,
"60 MILLIONS DE CONSOMMATEURS n 363 : JUILLET 2002","4082002070003","2004-02-09T00:00:00.000Z",,400209,
"60 MILLIONS DE CONSOMMATEURSn 362 : JUIN 2002","4082002060004","2004-02-09T00:00:00.000Z",,400210,
"60 MILLIONS DE CONSOMMATEURS n 361 : MAI 2002","4082002050005","2004-02-09T00:00:00.000Z",,400211,
"60 MILLIONS DE CONSOMMATEURSn 360 : AVRIL 2002","4082002040006","2004-02-09T00:00:00.000Z",,400212,
"60 MILLIONS DE CONSOMMATEURS n 359 : MARS 2002","4082002030007","2004-02-09T00:00:00.000Z",,400213,
"60 MILLIONS DE CONSOMMATEURSn 358 : FEVRIER 2002","4082002020008","2004-02-09T00:00:00.000Z",,400214,
"60 MILLIONS DE CONSOMMATEURSn 357 : JANVIER 2002","4082002010009","2004-02-09T00:00:00.000Z",,400215,
"QUE CHOISIR : MAI 2002 N°393","41020020500010","2004-02-09T00:00:00.000Z",,400216,
"QUE CHOISIR : MARS 2002","4102002030002","2004-02-09T00:00:00.000Z",,400217,
"QUE CHOISIR : AVRIL 2002","4102002040001","2004-02-09T00:00:00.000Z",,400218,
"QUE CHOISIR : JANVIER 2002","4102002010004","2004-02-09T00:00:00.000Z",,400219,
"QUE CHOISIR : JUIN 2002","4102002060009","2004-02-09T00:00:00.000Z",,400220,
"QUE CHOISIR : FEVRIER 2002","4102002020003","2004-02-09T00:00:00.000Z",,400221,
"100 IDÉES JARDIN : MARS 2001 N°9 Printemps","4072001030009","2004-02-09T00:00:00.000Z",,400222,
