title,auteur,code_barre,dewey,date_acquis,date_hors_circu,ref,cote,resume,tags
"UN ETE POUR MEMOIRE","DELERM P.","2000000023410","Romans français",,,202341,"NULL",,
"LA PUISSANCE DES VAINCUS","LAMB W.","2000000023427","Romans anglais",,,202342,"NULL",,
"MEMOIRES DE LA ROSE","DE SAINT EXUPERY C.","2000000023434","Romans français",,,202343,"NULL",,
"CADAVRE X","CORNWELL P.","2000000023441",,,,202344,"NULL",,
"L'AGE DE RAISON","FIELDING H.","2000000023458","Romans anglais",,,202345,"NULL",,
"UN TERRITOIRE FRAGILE","FOTTORINO E.","2000000023465","Romans français",,,202346,"NULL",,
"LA CONVERSATION AMOUREUSE","FERNEY A.","2000000023472","Romans français",,,202347,"NULL",,
"99 FRANCS","BEIGBEDER F.","2000000023489","Romans français",,,202348,"NULL",,
"LA NOUVELLE PORNOGRAPHIE","NIMIER M.","2000000023496","Romans français",,,202349,"NULL",,
"LA PIERRE DE LUMIERE : T3","JACQ C.","2000000023502","Romans français",,,202350,"NULL",,
"QU'ELLE ETAIT BELLE CETTE UTOPIE","ROSSI J.","2000000023519",,,,202351,"NULL",,
"ALLAH N'EST PAS OBLIGE (RENAUDOT 2000)","KOUROUMA A.","2000000023526","Romans français",,,202352,"NULL",,
"METAPHYSIQUE DES TUBES","NOTHOMB A.","2000000023533","Romans français",,,202353,"NULL",,
"DANS CES BRAS LA (FEMINA 2000)","LAURENS C.","2000000023540","Romans français",,,202354,"NULL",,
"IL NEIGEAIT","RAMBAUD P.","2000000023557","Romans français",,,202355,"NULL",,
"LES RIVIERES POURPRES","GRANGE J.C","2000000023564",,,,202356,"NULL",,
"LA MONTAGNE DE L'AME","XINGJIAN G.","2000000023571",,"2001-04-01T00:00:00.000Z",,202357,"NULL",,
"DERNIER REFUGE","MAC DONALD P.","2000000023588",,"2001-04-01T00:00:00.000Z",,202358,"NULL",,
"MILLE FEMMES BLANCHES","FERGUS J.","2000000023595","Romans anglais","2001-04-01T00:00:00.000Z",,202359,"NULL",,
"LA MUSIQUE D'UNE VIE","MAKINE A.","2000000023601","Romans français","2001-04-01T00:00:00.000Z",,202360,"NULL",,
"LA JEUNE FILLE A LA PERLE","CHEVALIER T.","2000000023618","Romans anglais","2001-04-01T00:00:00.000Z",,202361,"NULL",,
"QUAND TU ES PARTI","O'FARRELL M.","2000000023625","Romans anglais","2001-04-01T00:00:00.000Z",,202362,"NULL",,
"LE VIN BOURRU","CARRIERE J.C.","2000000023632","Romans français","2001-04-01T00:00:00.000Z",,202363,"NULL",,
"LA HAINE DE LA FAMILLE","CUSSET C.","2000000023649","Romans français","2001-04-01T00:00:00.000Z",,202364,"NULL",,
"LA DIVINE COMEDIE","SOLLERS P.","2000000023656","Romans français","2001-04-01T00:00:00.000Z",,202365,"NULL",,
"LES NOELS BLANCS","SIGNOL C.","2000000023663","Romans français","2001-04-01T00:00:00.000Z",,202366,"NULL",,
"CURS PERDUS EN ATLANTIDE","KING S.","2000000023670",,"2001-04-01T00:00:00.000Z",,202367,"NULL",,
"LA PIERRE DE LUMIERE : T4","JACQ C.","2000000023687","Romans français","2001-04-01T00:00:00.000Z",,202368,"NULL",,
"LE LIT","BRAGANCE A.","2000000023694","Romans français","2001-04-01T00:00:00.000Z",,202369,"NULL",,
"LA SIESTE ASSASSINEE","DELERM P.","2000000023700","Romans français","2001-04-01T00:00:00.000Z",,202370,"NULL",,
"LE JOURNAL DE BRIDGET JONES","FIELDING H.","2000000023717","Romans anglais","2001-04-01T00:00:00.000Z",,202371,"NULL",,
"SOLEA","IZZO J.C.","2000000023724",,"2001-04-01T00:00:00.000Z",,202372,"NULL",,
"LA JUIVE","MAINGUY C.","2000000023731","Romans français","2001-04-01T00:00:00.000Z",,202373,"NULL",,
"MAYA","GAARDER J.","2000000023748",,"2001-04-01T00:00:00.000Z",,202374,"NULL",,
"INCA","DANIEL ANTOINE B.","2000000023755","Romans français","2001-04-01T00:00:00.000Z",,202375,"NULL",,
"DOSSIER BENTON","CORNWELL P.","2000000023762",,"2001-08-01T00:00:00.000Z",,202376,"NULL",,
"INCA : T.2 L'or de Cuzco","DANIEL ANTOINE B.","2000000023779","Romans français","2001-08-01T00:00:00.000Z",,202377,"NULL",,
"DANS LA RUE OU VIT CELLE QUE J'AIME","HIGGINS CLARK M.","2000000023786",,"2001-08-01T00:00:00.000Z",,202378,"NULL",,
"TWIST TROPIQUE","MIZIO F.","2000000023793",,"2001-08-01T00:00:00.000Z",,202379,"NULL",,
"LE TRESOR DU TEMPLE","ABECASSIS E.","2000000023809","Romans français","2001-08-01T00:00:00.000Z",,202380,"NULL",,
"PILGRIM","FINDLEY T.","2000000023816","Romans anglais","2001-08-01T00:00:00.000Z",,202381,"NULL",,
"CETTE AVEUGLANTE ABSENCE DE LUMIERE","BEN JELLOUN T.","2000000023823","Romans français","2001-08-01T00:00:00.000Z",,202382,"NULL",,
"MEUTRES EN SOUTANE","JAMES P.D.","2000000023830",,"2001-08-01T00:00:00.000Z",,202383,"NULL",,
"PORTRAIT SEPIA","ALLENDE I.","2000000023847","Romans espagnols","2001-08-01T00:00:00.000Z",,202384,"NULL",,
"QUMRAN","ABECASSIS E.","2000000023854","Romans français","2001-08-01T00:00:00.000Z",,202385,"NULL",,
"LA PETITE BIJOU","MODIANO P.","2000000023861","Romans français","2001-08-01T00:00:00.000Z",,202386,"NULL",,
"A HAUTEUR D'HOMME","MALAVOY C.","2000000023878","Romans français","2001-08-01T00:00:00.000Z",,202387,"NULL",,
"SONATE POUR UN CLONE","MATTEI J-F","2000000023885","Romans français","2001-08-01T00:00:00.000Z",,202388,"NULL",,
"CHIEN DE FAIENCE","CAMILLERI A.","2000000023892",,"2001-08-01T00:00:00.000Z",,202389,"NULL",,
"PAPA EST AU PANTHEON","DE SAINT-ANDRE A.","2000000023908","Romans français","2001-08-01T00:00:00.000Z",,202390,"NULL",,
"L'ENGRENAGE","GRISHAM J.","2000000023915",,"2001-08-01T00:00:00.000Z",,202391,"NULL",,
"L'APPARITION","VAN CAUWELAERT","2000000023922","Romans français","2001-08-01T00:00:00.000Z",,202392,"NULL",,
"LE GRAND NANCY A PIED","","2000000023939",,"2001-08-01T00:00:00.000Z",,202393,"NULL",,
"LE PRINTEMPS DE CE MONDE","SIGNOL C.","2000000024165","Romans français",,,202416,"NULL",,
"PENSEES SECRETES","LODGE D.","2000000024172","Romans anglais","2002-03-28T00:00:00.000Z",,202417,"NULL",,
"LES COMBUSTIBLES","NOTHOMB A.","2000000024189","Romans français","2002-03-28T00:00:00.000Z",,202418,"NULL",,
"QUELQUES-UNS DES CENT REGRETS","CLAUDEL P.","2000000024196","Romans français","2002-03-28T00:00:00.000Z",,202419,"NULL",,
"MOI DORA MAAR","AVRIL N.","2000000024202","Romans français","2002-03-28T00:00:00.000Z",,202420,"NULL",,
"UN SOIR AU CLUB","GAILLY C.","2000000024219","Romans français","2002-03-28T00:00:00.000Z",,202421,"NULL",,
"ALLESANDRO ET LA GUERRE DES CHIENS","ABSIRE A.","2000000024226","Romans français","2002-03-28T00:00:00.000Z",,202422,"NULL",,
"UN JEUNE HOMME EST PASSE","REMOND A.","2000000024233","Romans français","2002-03-28T00:00:00.000Z",,202423,"NULL",,
"LA GRAMMAIRE EST UNE CHANSON DOUCE","ORSENNA E.","2000000024240","Romans français","2002-03-28T00:00:00.000Z",,202424,"NULL",,
