322;"GARCIA MARQUEZ G.";"DE LAMOUR ET AUTRES DEMONS";"860";NULL;NULL;NULL;NULL
323;"BRONTE E.";"LES HAUTS DE HURLE-VENT";"810";NULL;NULL;NULL;NULL
324;"EXBRAYAT C.";"CEUX DE LA FORET";"P 808";0000-00-00;"";0000-00-00;""
325;"SOLJENITSYNE A.";"UNE JOURNEE D'YVAN DENISSOVITCH";"301";NULL;NULL;NULL;NULL
326;"BOUKOVSKY V.";"ET LE VENT REPREND SES TOURS";"301";NULL;NULL;NULL;NULL
327;"HOEG P.";"SURILLA ET LAMOUR DE LA NEIGE";"839";NULL;NULL;NULL;NULL
328;"BONHEUR G.";"LE SOLEIL OBLIQUE";"808";NULL;NULL;NULL;NULL
329;"CAUVIN P.";"E = MC2  MON AMOUR";"808";NULL;NULL;NULL;NULL
330;"CLAVEL B.";"LA FEMME DE GUERRE";"808";NULL;NULL;NULL;NULL
333;"RIHOIT C.";"LE BAL DES DEBUTANTES";"808";NULL;NULL;NULL;NULL
